id;title;description;start_date;end_date;percent_completed
1;withdrawal Avon rich;payment matrices payment;2023-01-06;2023-01-06;100
2;deposit;bifurcated virtual;2023-01-06;2023-01-05;47
3;Stream Human state;Quality proactive;2023-01-05;2023-01-06;28
4;Pizza synthesizing Pa'anga;Squares optical;2023-01-05;2023-01-05;84
5;Movies bypass Avon;Orchestrator integrate;2023-01-05;2023-01-05;23
6;TCP ADP Executive;Engineer navigate;2023-01-05;2023-01-05;19
7;Technician;Legacy THX;2023-01-06;2023-01-06;22
8;Florida;mission-critical copying;2023-01-06;2023-01-05;12
9;parse York;Vision-oriented;2023-01-06;2023-01-05;17
10;Bike enhance;GB Toys;2023-01-05;2023-01-05;30
